customer_id,customer_name
1,"Ir. Natalia Widodo, S.Pt"
2,Juli Waluyo
3,Hasna Zulaika
4,"dr. Kamila Prabowo, S.H."
5,"Budi Sirait, S.Ked"
6,Karimah Permata
7,Ami Thamrin
8,"dr. Gawati Sihombing, S.I.Kom"
9,Uchita Latupono
10,Maras Purnawati
11,drg. Shania Mangunsong
12,Radit Hutasoit
13,R.M. Daliman Sihombing
14,Restu Nashiruddin
15,Yulia Saputra
16,KH. Najib Kurniawan
17,"Cut Fathonah Halimah, S.Kom"
18,R.M. Tedi Saragih
19,Gada Sudiati
20,Siti Pratiwi
21,"Kurnia Yuliarti, S.Psi"
22,"Ciaobella Wulandari, S.I.Kom"
23,Shania Uwais
24,Cornelia Prasetya
25,Hj. Sarah Uyainah
26,Tira Andriani
27,"Jarwi Widodo, S.IP"
28,Farhunnisa Widiastuti
29,Unjani Pradana
30,Wadi Prastuti
31,Raina Mandala
32,Drs. Paris Usamah
33,Yuliana Lestari
34,"Bagiya Wahyuni, M.TI."
35,Pangeran Haryanti
36,Elma Pratiwi
37,"Faizah Latupono, S.H."
38,"Baktiono Sihombing, S.E."
39,Natalia Prasetyo
40,Dalima Rajasa
41,"Laras Kuswoyo, S.IP"
42,Jane Firmansyah
43,Tgk. Pranata Rajata
44,"Drs. Tasnim Rahayu, S.H."
45,"Dr. Queen Laksmiwati, S.H."
46,Carla Sirait
47,Cindy Situmorang
48,Farhunnisa Sihotang
49,drg. Dina Nuraini
50,"Tari Rahmawati, S.Pd"
51,Lukita Widodo
52,Maria Susanti
53,Sabrina Dabukke
54,Najwa Nasyiah
55,Sidiq Rahimah
56,Vivi Haryanti
57,Ir. Heryanto Rahayu
58,Mutia Prasasta
59,"Ellis Anggriawan, S.Psi"
60,Keisha Adriansyah
61,Gandewa Putra
62,Winda Sihotang
63,H. Danang Novitasari
64,Mustika Pratama
65,Nabila Purnawati
66,Maya Haryanto
67,Prayogo Megantara
68,Nabila Andriani
69,Gilda Usada
70,"Taufik Rajata, S.E.I"
71,"Ratih Kuswoyo, M.Farm"
72,"Kajen Januar, S.Pd"
73,"Drs. Bagya Handayani, S.IP"
74,Puspa Susanti
75,"Usyi Halim, S.E."
76,Drs. Yahya Utama
77,"Joko Sirait, M.TI."
78,"Michelle Manullang, S.E."
79,dr. Victoria Wijayanti
80,Hj. Zalindra Melani
81,Ganda Haryanto
82,Cakrabuana Siregar
83,"Tantri Hastuti, S.Kom"
84,"Jasmani Widodo, S.IP"
85,Irma Irawan
86,"Sari Kusmawati, S.Psi"
87,Cinthia Ramadan
88,"Yunita Putra, S.Psi"
89,Tgk. Aditya Yulianti
90,Jayadi Mulyani
91,Usman Hutagalung
92,Qori Hutapea
93,R. Intan Saragih
94,Puti Nasyiah
95,Ira Saptono
96,Drs. Jatmiko Usada
97,"Jessica Wijayanti, S.Psi"
98,Damu Damanik
99,Keisha Novitasari
100,"Ir. Kamila Mangunsong, S.Ked"
101,"Dr. Gada Wastuti, S.Ked"
102,"Hj. Humaira Samosir, S.IP"
103,"Hj. Icha Wulandari, S.Gz"
104,Puti Paulin Sirait
105,Unggul Samosir
106,"Ir. Belinda Wijaya, M.Pd"
107,"Lili Melani, S.T."
108,Atma Maulana
109,Eva Kuswoyo
110,Hardana Saragih
111,"Kamaria Jailani, S.Sos"
112,"Tgk. Lintang Januar, S.Pt"
113,Drs. Siska Mardhiyah
114,Teguh Saputra
115,"Ikin Adriansyah, M.Farm"
116,Hj. Sabrina Permata
117,Cornelia Widodo
118,Anom Pradana
119,Jasmani Nugroho
120,Wirda Oktaviani
121,Paulin Wahyudin
122,Cici Hutasoit
123,"R. Bella Dongoran, S.H."
124,Elisa Laksmiwati
125,Gandi Prayoga
126,Hana Prabowo
127,"R.A. Dewi Purnawati, S.Sos"
128,Queen Widiastuti
129,Salimah Gunawan
130,"Dr. Anastasia Oktaviani, S.Pd"
131,"Maimunah Manullang, M.Ak"
132,"Puput Laksita, S.T."
133,"Drs. Jumadi Oktaviani, M.TI."
134,Oskar Adriansyah
135,"Bella Narpati, S.Kom"
136,Faizah Saragih
137,"Karimah Waluyo, M.Farm"
138,Ir. Belinda Astuti
139,Heryanto Pangestu
140,Carla Irawan
141,Puti Laras Safitri
142,Cut Faizah Putra
143,Cut Fathonah Wibisono
144,"R. Wulan Laksita, S.Kom"
145,"Mursita Megantara, S.Ked"
146,Rahayu Ardianto
147,"Sutan Adhiarja Pratiwi, S.I.Kom"
148,Aisyah Nasyiah
149,Niyaga Hartati
150,drg. Zaenab Tarihoran
151,Tgk. Ella Permata
152,Emil Sitorus
153,Shania Puspita
154,"Puti Yessi Sihombing, S.I.Kom"
155,"KH. Hairyanto Maheswara, M.Ak"
156,Asirwada Wahyuni
157,"Gangsa Siregar, S.Sos"
158,Lala Tarihoran
159,T. Dono Yuliarti
160,"Marsito Maulana, S.Psi"
161,Bakiadi Pradana
162,Ir. Taufan Siregar
163,"Endra Widiastuti, S.E."
164,"Kamila Wastuti, M.TI."
165,"dr. Surya Situmorang, M.M."
166,"R.A. Kania Suryono, S.E."
167,Lukita Prabowo
168,"dr. Slamet Wijaya, M.Kom."
169,"R. Tantri Gunawan, M.Kom."
170,Humaira Prakasa
171,Virman Purnawati
172,Dr. Estiawan Usamah
173,"Dr. Natalia Prasasta, S.Ked"
174,"Drs. Martani Winarsih, S.Sos"
175,Ganep Purwanti
176,Dimas Mansur
177,Tgk. Eli Oktaviani
178,Endah Laksita
179,"Sutan Mahdi Firmansyah, M.Kom."
180,"Jarwadi Purwanti, S.Psi"
181,T. Prayogo Prasasta
182,Drs. Cemani Lestari
183,"Puti Bella Rajata, S.Ked"
184,"Dr. Tasnim Usada, S.IP"
185,Salsabila Nashiruddin
186,Balijan Prasetyo
187,"Kamila Uyainah, M.Farm"
188,Bella Wahyudin
189,Farhunnisa Purwanti
190,Slamet Oktaviani
191,Anita Mansur
192,Puti Cinta Yuliarti
193,Ir. Paris Hassanah
194,"drg. Paiman Sitorus, S.Psi"
195,Gilda Prasasta
196,Ina Prabowo
197,"H. Viman Hakim, S.Ked"
